"$StreamingMovies$ = No AND $Contract$ = One year => No",352.0,327.0
"$TotalCharges$ <= 863.55 AND $TotalCharges$ <= 1166.3249999999998 AND $MonthlyCharges$ <= 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",14.0,12.0
"$TotalCharges$ > 863.55 AND $TotalCharges$ <= 1166.3249999999998 AND $MonthlyCharges$ <= 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => Yes",11.0,6.0
"$TotalCharges$ > 1166.3249999999998 AND $MonthlyCharges$ <= 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",303.0,262.0
"$PaymentMethod$ = Mailed check AND $DeviceProtection$ = Yes AND $TotalCharges$ <= 6552.725 AND $MonthlyCharges$ > 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",8.0,7.0
"$PaymentMethod$ = Bank transfer (automatic) AND $DeviceProtection$ = Yes AND $TotalCharges$ <= 6552.725 AND $MonthlyCharges$ > 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",36.0,29.0
"$OnlineSecurity$ = Yes AND $PaymentMethod$ = Electronic check AND $DeviceProtection$ = Yes AND $TotalCharges$ <= 6552.725 AND $MonthlyCharges$ > 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",15.0,12.0
"$TechSupport$ = No AND $OnlineSecurity$ = No AND $PaymentMethod$ = Electronic check AND $DeviceProtection$ = Yes AND $TotalCharges$ <= 6552.725 AND $MonthlyCharges$ > 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",11.0,7.0
"$TechSupport$ = Yes AND $OnlineSecurity$ = No AND $PaymentMethod$ = Electronic check AND $DeviceProtection$ = Yes AND $TotalCharges$ <= 6552.725 AND $MonthlyCharges$ > 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => Yes",10.0,8.0
"$PaymentMethod$ = Credit card (automatic) AND $DeviceProtection$ = Yes AND $TotalCharges$ <= 6552.725 AND $MonthlyCharges$ > 99.875 AND $StreamingMovies$ = Yes AND $Contract$ = One year => No",24.0,19.0
